id,课程名,评论
75,微信小程序入门与实战  常用组件API开发技巧项目实战,老师讲的很好，学习路线明确，由浅入深，逻辑清晰，不仅讲述各个知识点，而且讲解知识点原理和解决问题的方法，再启发学生去思考，随着小程序版本的更新而更新，在原来的视频里作了补充说明，还另外把Q&A发表在知乎，在博客上补充发表相关文章，开设微信公众号，为同学们解惑。而且老师自己也不断在学习钻研。很赞！我感觉是至今以来遇到对课程和学生最负责的IT老师。能遇到七月这样的好老师感到很幸运。确实是师者：传道，授业，解惑也。学完这一课程后。我将继续学下一小程序开发商城的课程。感谢老师！祝福老师！
75,微信小程序入门与实战  常用组件API开发技巧项目实战,前几章我都有跟着视频敲代码，这样可以开发工具和一些代码规范。后面几章直接学习老师的思想逻辑和解决问题的方法。我觉得这样入门要快一些。然后用学到的东西做个demo，可以学到新的东西。最后表示，用1.5倍或1.7倍的播放速度来学习后面的课程也不错。感谢老师！
75,微信小程序入门与实战  常用组件API开发技巧项目实战,"老师讲的很棒,有点后悔现在才来学这个课程,里面的知识点面面俱到,还帮你扩充了前端需要理解的一些概念,真的是非常用心的去做一门课程.不仅讲的非常清晰细腻,还有一些深度.真的很喜欢七月老师"
75,微信小程序入门与实战  常用组件API开发技巧项目实战,老师讲的非常好 但是 有没有群可以加一下 因为有时候自己做还是会出现问题 版本更新了啊 之类的 会报错不知道错在哪里 有群的话请告知一下
75,微信小程序入门与实战  常用组件API开发技巧项目实战,觉得不错，如果声音录制能更专业就更好了，，
75,微信小程序入门与实战  常用组件API开发技巧项目实战,这视频真的很棒，不知道老师有没有兴趣和时间再出一套关于vue的视频，非常想要听老师讲解vue
75,微信小程序入门与实战  常用组件API开发技巧项目实战,无可挑剔，如果老师的语速再稍微慢一点就更好了，哈哈哈哈
75,微信小程序入门与实战  常用组件API开发技巧项目实战,老师讲的非常的详细，通俗易懂，学习起来感觉好轻松，棒棒地，老师辛苦啦！
75,微信小程序入门与实战  常用组件API开发技巧项目实战,刚刚看完，老师讲的很好呢，也算是入门了，嗨皮~
75,微信小程序入门与实战  常用组件API开发技巧项目实战,老师讲的非常的详细，通俗易懂，学习起来感觉好轻松，帮帮地，老师辛苦啦！
75,微信小程序入门与实战  常用组件API开发技巧项目实战,很不错的课程，老师讲的也很详细，对于我这种小白还是很合适的
75,微信小程序入门与实战  常用组件API开发技巧项目实战,非常很好，简单通俗易懂
75,微信小程序入门与实战  常用组件API开发技巧项目实战,很棒的课程！
75,微信小程序入门与实战  常用组件API开发技巧项目实战,很满意
75,微信小程序入门与实战  常用组件API开发技巧项目实战,非常棒，非常认真负责的老师，满分！
175,前端成长必经之路-组件化思维与技巧,之前听了老师的前端跳槽面试技巧那门课，觉得受益颇多，基于对老师的认可，买了这门课，果然，又学到了很多东西，一如既往的好。老师讲课思路清晰，干货满满。希望老师能一如既往的推出更有价值的课程。我还会支持的。
175,前端成长必经之路-组件化思维与技巧,老师讲的非常棒！看完之后会对CSS、JS组件化开发有个更深刻的理解。我非常期待后面章节，满满的干货~
175,前端成长必经之路-组件化思维与技巧,之前买了老师《前端跳槽面试技巧》这门课，当时还犹豫要不要买，但停下来之后发现物超所值，干货满满！所以这次老师新出的课程也毫不犹豫的购买了！听老师的课总能感觉把自己遗漏的知识重新梳理起来，使我对前端的知识体系有了更清晰的架构和更明确的学习方向，老师讲课也是字正腔圆，节奏把握的非常到位，跟着老师的思路，听老师的语调和语速就可以知道哪里是重点哪里是难点，而且老师解释的也非常到位。希望自己的技能再提升一个档次！
175,前端成长必经之路-组件化思维与技巧,因为之前听了老师其他课程，基于对老师的认可，和现在我的需要，毫不犹豫就购买了组件化的课程。老师讲课思路非常清晰，重点到位。听了一部分了，感觉系统学习了组件化知识，还有老师自己的内功。课程加上老师后期的维护，价值远远超过了课程的价格。我根据老师的课程又修改了自己的项目，对组件化有了更深的认识。
175,前端成长必经之路-组件化思维与技巧,老师的铁粉啦，学完es6、前端面试技巧来学这个，这门课主讲组件化思维与技巧，使用vue2.5 来实现的京东金融实战项目，能学到组件化开发以及webpack工具的使用等等，是物超所值的，买来用于工作之余的知识补充！
175,前端成长必经之路-组件化思维与技巧,干货满满，前端技术热点都有涉及。学习组件化必备，从原理到实现全解析，实用性极强。
176,基于Python玩转人工智能最火框架 TensorFlow应用实践,课程讲的非常的有趣，配合流程图，思路很清晰，最重要的是老师人很认真，课下和老师请教了很多东西，感觉真的学到东西了，准备做一些小制作
74,Vue.js高仿饿了么外卖App 1.0到2.0版本完美升级,"我之前就一培训班出来的,工作经验就3月,老师这门课程让我找到了更好的工作,然后现在vue已经会用的差不多了,现在已经是公司的主力前端了.我觉得老师这个课程真的太好了,不仅学会了vue,更多的是思路方法,组件的复用,方法的思路,封装,都很有价值. 同时老师讲的stylus,flex布局等,移动端适配,1px边框,ticky footer布局,css3动画,better-scroll等都很有帮助.这些都是培训班不会教的.现在前端真的很难找工作,拿这个能秒掉不少培训的了"
74,Vue.js高仿饿了么外卖App 1.0到2.0版本完美升级,老师讲得很好，通俗易懂，一听就懂，视频我看到79%就接到一单2w的单了，项目用到vue组件化开发方式，让我开发效率大大提高，我也深深体会了数据驱动的厉害之处；利用晚上时间，一个月就完成任务了。必须5※好评啊！感谢老师，感谢慕课网，200 换2w  值了！！
74,Vue.js高仿饿了么外卖App 1.0到2.0版本完美升级,这课程是带领屌丝逆袭的好课程，比其他网站的实战课程好太多了， 反正跟着做下来感觉到的是在舒服的环境下完成艰难的学习，必须点赞
74,Vue.js高仿饿了么外卖App 1.0到2.0版本完美升级,尽管代码是1.0的，但是配合官方文档还是很容易直接用2.0开发的，这门课程关于VUE的内容都比较基础，非常适合以前没有接触过VUE的人用作入门，关于APP端的CSS布局也讲的非常细致，以前我没有接触过APP，买这门课程主要也是想在APP端有所突破，收获很大，有些章节适合反复看，不仅要做到看懂，会敲代码，更需要理解老师的思路，做到举一反三，better-scroll这个插件非常好用，以前在PC端用过bootstrap实现类似效果，也用jQ自己封装过组件，但是从代码量和难易程度来看，无疑better-scroll完胜，准备再从头看一遍后就转战音乐APP，非常感谢黄老师的分享，课程绝对物超所值
107,Vue 2.0 高级实战-开发移动端音乐 WebApp,不能打11分，差评。这课程实在是太好了，讲得相当详细，最主要还是开发的思想，业务逻辑和结构上都非常棒。老师上次的饿了吗也买过，也是相当好的，这次的就更完整了。唯一就是在手机上运行会卡顿，不知道是不是我手机的问题，性能不够。但毕竟也只是比较大
75,微信小程序入门与实战  常用组件API开发技巧项目实战,很好的课程，就是有点老了
176,基于Python玩转人工智能最火框架 TensorFlow应用实践,很实用的教程，重点是老师很贴心的给配置好了环境
176,基于Python玩转人工智能最火框架 TensorFlow应用实践,老师讲的通俗易懂，在学习的过程中可以感受到老师很用心的在做课程，而且在群里感觉老师非常热情和客气
176,基于Python玩转人工智能最火框架 TensorFlow应用实践,两天没有刷慕课网，结果发现了TensorFlow高大上的课程，课程介绍都没看就买了。果然没有让人失望，课程贯穿了几个小项目和一些例子，老师讲课风格诙谐。最后感觉老师非常热情和客气 。。。。。⛽️
176,基于Python玩转人工智能最火框架 TensorFlow应用实践,在这里先说一句感谢老师的话，真的非常棒，您是我在慕课网上遇到过的最好的老师，没有之一。老师负责任的态度真的让我十分敬佩，有这样的老师课程当然也是最棒的。实在是让人感动，都不知道该说些什么了，没别的，以后只要老师出的实战，我一定买。
176,基于Python玩转人工智能最火框架 TensorFlow应用实践,老师很用心的在做课程，环境什么的一点有困难不会配置就会在群里帮着解决，希望自己跟着学完可以按照老师课程的思路结合自己的创意做点什么出来，哈哈
176,基于Python玩转人工智能最火框架 TensorFlow应用实践,"tf框架和普通的Python编程习惯有一些不同，所以刚开始看起来还是有一点不习惯。
我还需要努力加油，打好基础QAQ"
176,基于Python玩转人工智能最火框架 TensorFlow应用实践,能够借助该课程，快速入门TensorFlow框架，感觉挺值得的，有用。
176,基于Python玩转人工智能最火框架 TensorFlow应用实践,很实用，希望尽快更新完
176,基于Python玩转人工智能最火框架 TensorFlow应用实践,概念清晰，讲得很好，受益非浅，有用。
74,Vue.js高仿饿了么外卖App 1.0到2.0版本完美升级,"除了需要迁移2.0的部分,其他的都很不错.主要还是要看问题的分析与思路,1.0与2.0只是实现的方法有些区别,目的和思路却是一致的.视频结合github上的源码,更有用."
74,Vue.js高仿饿了么外卖App 1.0到2.0版本完美升级,这门课程是我在前端从业近两年，从业前还自学过一年多，并且把慕课网的vue基础部分、vue商城实战案例看完后，紧接着累计每天10h左右，花了总共七天看完并认真做了一遍，并把所有细节都全部弄明白。在老师讲解的接触上对代码有自己的理解后优化了一小部分，自己封装了Icon组件，用sass编写的样式。具体类名和一些小方法小略有不同。感觉这套课程物超所值。看后决定毫不犹豫地买下vue移动端音乐。
74,Vue.js高仿饿了么外卖App 1.0到2.0版本完美升级,已经学习了70%，感觉还是很不错的。虽然学习的时候已经是vue2.0了，和vue1.0有不好改变的地方，通过看vue官网中的vue1.0到2.0的迁移文档中，都可以找到其中的改变，比如v-el替换为ref，动画transition由属性值改为transition标签等，还是有vue-router的改变。不明白的同学们，也可以先提前看下老师的vue1.0到2.0重构部门的视频，也许那些坑就迎刃而解了。goods组件已经开发完毕，剩下的学完就准备构造公司的项目为vue。这198感觉花的很值，看视频省下了许多自己踩坑的时间，师傅带进门，修行靠个人，剩下就得靠自己了。----来自一个后端开发人员的感悟
107,Vue 2.0 高级实战-开发移动端音乐 WebApp,第二次买老师的课程了，超级之棒，每一节课都满满的知识点，让人感觉眼前一亮，有时候一个新的方法，得自己再去琢磨好一会，来来回回看视频，去练习。。开始的几节课老师的嗓子都是哑的，感受到老师的辛苦。课后的回答也及时跟上了，群里小伙伴们的学习气氛也特别浓厚，感觉好好。哈哈^_^，期待老师以后再出新东西。必须满分！满分！
107,Vue 2.0 高级实战-开发移动端音乐 WebApp,非常好 尤其是之前对vuex本来还有些不清晰 不会拆分模块 全部写在了store.js里了 看起来很杂乱 也不好维护 看了老师讲解后 理解了很多 还有不少vue的高级用法 看来之后还要多实践 而且对模块化的理解也清晰了许多 总之 很棒!
107,Vue 2.0 高级实战-开发移动端音乐 WebApp,将近200个小时，黄老师这门课我学习了两遍，第一遍主要是浏览，搞清楚这门课里老师到底干了什么，第二遍跟着老师敲代码，搞清楚这门课里老师到底是怎么实现这些功能的，遇到问题解决问题不懂就在群里在慕课在github提问直到搞懂为止。。但是两遍过后，我觉得我有很多地方依然没有吃透，比如在十几天前，我看到master上的代码里播放器的逻辑改了很多地方，貌似彻底解决了之前留存的一些瑕疵和bug，这就需要我再学习第三遍第四遍。。我很感动黄老师能够不吝分享他的知识，能做领路人让大家更快的上手，饿了么的课程我也买了，马上学，黄老师以后出的课程我也一定会买，因为现在想想，这点钱相比那么多知识，越学越赚！谢谢老师！
107,Vue 2.0 高级实战-开发移动端音乐 WebApp,这课是真的赞到不行   才看没几章   每一小节十几分钟的课来回都要看个四十分钟左右  确实干货满满   其实还是自己level不够，需要学的还好很多     学到现在的感受：黄老师乃真大神也！！
107,Vue 2.0 高级实战-开发移动端音乐 WebApp,学到了80%了。真的特别特别好。非常期待自己有一天也能这么厉害，也很期待老师的下一门课。只要有老师的课，都好想学啊。每年都要保持着进步。
107,Vue 2.0 高级实战-开发移动端音乐 WebApp,其实我是刚刚开始学   但是干货知识就马上就汹涌而来了   拦都拦不住啊
107,Vue 2.0 高级实战-开发移动端音乐 WebApp,受益良多，还要靠自己多多消化与思考，为好的内容付费就是捡便宜
107,Vue 2.0 高级实战-开发移动端音乐 WebApp,干货满满，学完这套视频，如果你完全掌握了，vue应该算是入门了，以后自己可以独立开发了
107,Vue 2.0 高级实战-开发移动端音乐 WebApp,才看到第四章，感觉以前自己做的两个Vue项目好low啊，学到了很多实际开发中可以运用的知识点。
107,Vue 2.0 高级实战-开发移动端音乐 WebApp,干货很多，适合有一定VUE基础的，学完以后对VUE整体架构掌控将会有一个质的飞跃
107,Vue 2.0 高级实战-开发移动端音乐 WebApp,每天都期待老师有新的课程上架
107,Vue 2.0 高级实战-开发移动端音乐 WebApp,期待有一天能像老师这么6
107,Vue 2.0 高级实战-开发移动端音乐 WebApp,讲得很好，另外老师声音也很好听
107,Vue 2.0 高级实战-开发移动端音乐 WebApp,从饿了么转战过来的，内容干货很多！
107,Vue 2.0 高级实战-开发移动端音乐 WebApp,"非常满意！ 黄轶老师讲的非常好，很容易理解，Vue版本升级较快，建议参考老师的源码进行学习，老师一直同步更新自己的代码感觉非常好，群里解决问题也很及时。
另外老师写的better-scroll也非常好用。"
107,Vue 2.0 高级实战-开发移动端音乐 WebApp,讲的挺清晰的 一步步跟着老师来都没有太大的问题 像一些组件化的思想让我学到了很多 就是对于better-scroll的使用 还不是很好的理解 挺好的 都挺实用的 不知道能不能使用swiper来代替better-scroll
107,Vue 2.0 高级实战-开发移动端音乐 WebApp,本人后端狗一枚，致力于成为一名全栈开发工程师。Vue 自己也有看过，组件化的思想也是有点儿，但不甚清晰。就想找部实战的课程看下，《Chicken Music》这个实战项目，黄老师通过简单易懂的方式娓娓道来，听起来甚是带劲儿，也从中学到了很多细节的东西，可谓干货满满，你绝对值得拥有。所谓师傅领进门修行在个人，后边打算再找点儿 GayHub 上的项目巩固下。
177,从天气项目看Spring Cloud微服务治理,"这门课对我还是挺有用的，网关是zuul又是前后端分离的,还做了配置的集中化管理，正好工作中需要用，收获很多"
177,从天气项目看Spring Cloud微服务治理,讲的很细致，公司在用SpringCloud，学后对SpringCloud的认识更清晰了，感谢老师
177,从天气项目看Spring Cloud微服务治理,课程比较通俗易懂，微服务讲解的也不错，有点缺憾是前面课程的时长感觉有点长
96,Java大牛 带你从0到上线开发企业级电商项目,课程真的很赞啊，学完整个课程，真的学到很多东西。一期偏基础，讲的真的是超级详细，无敌详细，巨详细！ 相信我，跟着课程一步一步来，绝对会有收获。  老师真的是很用心，很负责的一个老师，能感觉出来老师是很忙的，因为老师也要上班， 但是问答区问的问题他都会抽时间去认真的回答，老师只要有时间也会在群里和大家互动交流，给大家一些工作或学习上的建议。  最重要的是，老师的项目成功的帮助我拿到一个自己很满意的互联网公司的offer（手动加粗）！！！  感谢Geely，也感谢自己，二期必须继续支持！！！
74,Vue.js高仿饿了么外卖App 1.0到2.0版本完美升级,"课程代码应该早点给学生,本身webpack就很难,得让学生先把项目运行起来,我这还是很有基础的学生都是这种感觉,而且比较难的的知识应该多讲讲"
74,Vue.js高仿饿了么外卖App 1.0到2.0版本完美升级,很适合新手学习，也能给，能够学到很多有用的知识：如何封装一个组件，组件之间如何交互，组件的复用，如果结合 better-scroll 实现滚动，还有炫酷的添加购物车动画，webpack 相关的只是，vue-router（路由的跳转）以及 vue-resource（ajax请求的封装），干货满满，快来学习吧。
74,Vue.js高仿饿了么外卖App 1.0到2.0版本完美升级,虽然内容是1.0的，但之前已经学过2.0的基础API了，所以在发现问题的时候也比较容易解决，全程都跟着老师代码敲的，收货很大。
74,Vue.js高仿饿了么外卖App 1.0到2.0版本完美升级,跟着视频和vue官方文档用vue2.0一行一行敲完了代码，居然用了80个小时。但是学到了好多东西，老师讲的太棒了，手动点一个大大的赞！
74,Vue.js高仿饿了么外卖App 1.0到2.0版本完美升级,还算不错了，即使样式和布局讲得多了一点，对于 Vue 入门还是很值得推荐的。
74,Vue.js高仿饿了么外卖App 1.0到2.0版本完美升级,很适合Vue入门，老师讲的很细，问答也很认真回复，特别负责
74,Vue.js高仿饿了么外卖App 1.0到2.0版本完美升级,历时57小时13分，凌晨三点可算敲完，收货满满，下一站音乐播放器！
74,Vue.js高仿饿了么外卖App 1.0到2.0版本完美升级,"老师讲了很好, 边讲边去官方讲解, 让学习的人也学会了学习的方法"
74,Vue.js高仿饿了么外卖App 1.0到2.0版本完美升级,挺好的
74,Vue.js高仿饿了么外卖App 1.0到2.0版本完美升级,老师代码带着我们敲，一步步实现功能，前台经验的传授受益匪浅，教学思路清晰明了，但是如果不用死数据，使用真实后台数据讲解的话，能够让我们更清楚vue在前后台数据传递中如何起作用，比如，我有个表单数据提交，或者需要请求后台数据然后循环加载到页面，这样就更棒了！！！！
74,Vue.js高仿饿了么外卖App 1.0到2.0版本完美升级,真的真的感谢黄老师，认认真真学完再过来评价，每一章都是干货，学完不仅对vuejs更加了解，对es6，js，css都有更深入的理解！！！！
74,Vue.js高仿饿了么外卖App 1.0到2.0版本完美升级,买了课程就开始学，一天学了前4章，比自己在网上摸索快多了，也系统多了。目前感觉很顺畅，每节课都收获满满。下班回家也想继续学。
74,Vue.js高仿饿了么外卖App 1.0到2.0版本完美升级,老师教会我们很多哦~老师的代码真的很6，值得吃几遍~~很多CSS，都是接地气。很有实力！！要是功能再复杂点就好了~
107,Vue 2.0 高级实战-开发移动端音乐 WebApp,非常不错，思路清晰，口才清楚，课程循序渐进，通俗易懂
107,Vue 2.0 高级实战-开发移动端音乐 WebApp,不错，值得学习。
162,Java企业级电商项目架构演进之路  Tomcat集群与Redis分布式,Geely老师的课，果然人气火爆，干货肯定有的，首先对Lomback和Maven的讲解很细，后面对Tomcat和Redis分布式的部署，尽管没看，但还是先来评价了，也很期待，另外就是期待Geely老师也能在二期群中分享更多课程内外的干货，最后打个广告，强烈推荐下Jimin老师的权限管理，很不错的课程，慕课网三剑客，果断好评。。。哈哈
162,Java企业级电商项目架构演进之路  Tomcat集群与Redis分布式,之前学过老师的电商一期实战，收获很大！而且如愿找到了工作，今天中午休息发现老师的二期上线了！支持老师的二期实战！希望有更多收获！
162,Java企业级电商项目架构演进之路  Tomcat集群与Redis分布式,老师讲的很好 如果按照老师讲的架构演进的话 应该有第三期 而且应是要实现高并发了 很期待 不知道老师有没有这个课程计划
162,Java企业级电商项目架构演进之路  Tomcat集群与Redis分布式,课程评价肯定全5星，满10分。我不说你能学到什么，毕竟每个人的基础功底和对知识的领悟有多少是不一样的。我就简单说说我从课程中得到的。最直接的就是获得了某公司人工智能团队的Offer。 也许你会有疑问，人工智能和这个课程有关系吗？我很明确的回答你，是的。2期课程侧重于描绘你的工程能力，在实际工作中通过2期课程你的工程能力会有很大的提升，而在面试中，除了基础知识、架构设计、算法与数据结构，还会重点考察你的工程能力，如果把2期的知识融入进去，会有非常非常好的效果。最后说一句，不要吝啬在知识方面对自己的投资，永远不要小瞧你自己
162,Java企业级电商项目架构演进之路  Tomcat集群与Redis分布式,二话不说就把期待已久的Geely老师的二期课程给买了，听着熟悉的“大家好！我是Geely”，又仿佛回到了今年春、夏那段热忱编码的时光，一股编程的热血又一下涌现了出来，工作项目出现的bug都会调了哈哈。。现在工作上后端的东西跟老师一期讲的课程一模一样，足以应对工作中基本的开发了。看了几个二期的课程视频，感觉还是那么干货满满，redis，nginx集群搭建都有，买书的钱都省了，买书还不如买“Geely”，相信Geely，逐步迈入高级开发者的行列。哎！不谈了，看视频去喽！
162,Java企业级电商项目架构演进之路  Tomcat集群与Redis分布式,从一期到二期，Geely老师依然讲得很到位，框架原理的讲解，带着我们一起看源码，DEBUG，感觉更多的时候我们不仅仅是在学技术，还在学习如何去学习新技术，新框架，而且老师在问答区还是有问必答，QQ群也经常发红包（哈哈）。感谢Geely老师，期待第三期！
96,Java大牛 带你从0到上线开发企业级电商项目,对于初学者。这套教程是一套很好的技能提高，总结的教程，全程手把手教学，从环境搭建，到代码编写，以及最后的部署，内容不深，但是面面俱到，是一个很不错的入门项目实战！虽然说只有20多个小时，但学习还是大部分靠自己，目前还是跟着视频打，可能会没什么体会，还是要学会总结，总结，总结。准备流程走完之后，不看视频打一遍！
96,Java大牛 带你从0到上线开发企业级电商项目,"10分必须的。
老师很用心，答疑很及时，视频讲解非常细心，使得我这个抛弃java十年的运维又重新找回java的乐趣，赶上了目前最新的java知识点。
感谢感谢感谢，重要的话说三遍。"
96,Java大牛 带你从0到上线开发企业级电商项目,这套课程好好跟下来，找工作真的和玩一样~
96,Java大牛 带你从0到上线开发企业级电商项目,Geely老师的课程，我的人生稻草，学完感觉成就满满；从开发环境的搭建，项目的初始化，各个模块的手把手敲代码，支付宝的对接，再到线上ECS服务器的部署和发布，条理清楚，详实细致，干货满满，一线的开发技术和开发软件，IEDA智能和RestClient的使用真是解决了开发的烦恼啊，配合前端在收货自己的网站的同时，对网站的开发和整个过程有了新的认识和理解；我也是慕课网的老用户了，从C语言开始学了很多老师的课程，真心觉得课程不错，300多的课程不贵，有没有基础学完了就步入开发；Geely老师每天都会在问答区解答问题，耐心如@暮色如虹说的一样，qq群里气氛活跃，问题都有同学帮助解答；感谢Geely老师！
96,Java大牛 带你从0到上线开发企业级电商项目,不说别的这套内容我同学在某培训机构花一万八都没这么多
96,Java大牛 带你从0到上线开发企业级电商项目,20天的时间，没日没夜的研究，从一开始的环境搭建，到中期的项目结构演进，以及后期的支付宝订单模块，一行一行的代码敲过来的，收获了很多很多，最大的提升就是我的心态，一颗耐心，细心解决bug的心。期间也困惑过，无助过，好在是挺多来了。geely老师的这个项目内容真的很扎实，学习到了很多封装思想，以及工具类，对于个人今后项目设计思想有很大的提升，很赞很赞。尤其是虚拟机，云服务器部署，支付宝订单支付，这是我以前所没有接触到过的，给了我很大的收获，五星好评，哈哈！
96,Java大牛 带你从0到上线开发企业级电商项目,我是一个java小白，开始只会写几个java代码，不知道项目的整体架构和文件目录分布，看了老师视屏之后，了解了一个项目包括：项目部署环境搭建、数据库设计、项目开发环境搭建、服务端接口API开发、前后台数据交互格式及POSTMAN测试工具使用。对我收获满满的，java刚入门或则是java基础知识不扎实的很值得学习这个教程（java大牛带你从0到上线开发企业级电商项目，你值得拥有）
96,Java大牛 带你从0到上线开发企业级电商项目,总体感觉还不错!很赞！！ 如果可以更好，详细，很多地方如果能讲一下为什么，比如一些IDEA的一些设置点为什么那么设置，要这样设置的原因，代码中的一些配置为什么要这么配置
96,Java大牛 带你从0到上线开发企业级电商项目,"geely老师很棒没问题。
倒是慕课能否把视频弄清楚点，压得那么严重，本来一直看屏幕学习就很费眼，超清模式下字体都是糊的，这能叫超清吗？"
162,Java企业级电商项目架构演进之路  Tomcat集群与Redis分布式,学习 Geely 老师的两门课程，从一期到目前的二期 ， 每次学习都有新的收获 ， 不吹不黑 ， Geely 老师的课程的确很棒。
162,Java企业级电商项目架构演进之路  Tomcat集群与Redis分布式,"从一期看到二期，谢谢Geely老师无私专业的分享，又一次收获满满。

只想说，Geely老师，世界有你更精彩！！！"
162,Java企业级电商项目架构演进之路  Tomcat集群与Redis分布式,只能说期待3期，如果能有4期5期就更好啦哈哈~会一直跟下去的。
162,Java企业级电商项目架构演进之路  Tomcat集群与Redis分布式,还可以做的更好，不过还是给10分，就是课程有点贵了
162,Java企业级电商项目架构演进之路  Tomcat集群与Redis分布式,课程很好，希望老师出个springboot，springcloud项目教程
162,Java企业级电商项目架构演进之路  Tomcat集群与Redis分布式,讲得很好。
162,Java企业级电商项目架构演进之路  Tomcat集群与Redis分布式,一期跟到二期，收获满满。
162,Java企业级电商项目架构演进之路  Tomcat集群与Redis分布式,行云流水，收货满满
162,Java企业级电商项目架构演进之路  Tomcat集群与Redis分布式,geely老师完美的再现了企业级电商项目的完整开发流程，手把手教会，真的是学到了很多知识，把以前学到的零散知识在这里完整的串起来了，进一步加深了印象，这些东西都是当前的主流技术，实际开发中也是用得上的。geely老师讲解的非常细致，非常喜欢geely老师，真的是干货满满。
162,Java企业级电商项目架构演进之路  Tomcat集群与Redis分布式,学完一期，马上就来学习第二期。干货多多。geely超级赞
162,Java企业级电商项目架构演进之路  Tomcat集群与Redis分布式,刚刷完一期，马上就来刷二期了~10分10分，赞赞赞geely哥，期待三期！
162,Java企业级电商项目架构演进之路  Tomcat集群与Redis分布式,这两套课程都很不错！由一般到高级很好的课程，学习了！
162,Java企业级电商项目架构演进之路  Tomcat集群与Redis分布式,非常好! 非常好!  真的非常好
162,Java企业级电商项目架构演进之路  Tomcat集群与Redis分布式,很好，都是干货
164,全面系统讲解CSS 工作应用+面试一步搞定,这套课程非常系统的梳理了HTML和CSS的知识点，尤其对CSS有了全新的认识，每一章结尾都有面试题讲解，小哥哥讲课吐字清楚，语速适中，逻辑清晰，通俗易懂，全程听下来很轻松。本课程是慕课网CSS板块难得的好课。期望小哥哥能继续推出优质的前端课程！！！
136,全网最热Python3入门+进阶 更快上手实际开发,"听完 面向对象 的内容， 我觉得这才是七月老师的课的最值之一！ 收获是超出语言之外的，对计算机世界的更深的理解与指导。

我还没来得及听后面 装饰器、高级函数、匿名函数，我想哪会有更多惊喜."
96,Java大牛 带你从0到上线开发企业级电商项目,个人感觉讲得多，很细，知识量大，需要慢慢消化，很好的一门课程
96,Java大牛 带你从0到上线开发企业级电商项目,讲的很多，正在做支付宝集成项目。很有参考意义
